time,drowsiness,eye_left_distance_1,eye_left_distance_2,eye_right_distance_1,eye_right_distance_2,lip_first_layer_distance_1,lip_first_layer_distance_2,lip_first_layer_distance_3,lip_first_layer_distance_4,lip_first_layer_distance_5,lip_second_layer_distance_1,lip_second_layer_distance_2,lip_second_layer_distance_3
2014-11-26 10:08:39,3,5.830951894845301,7.0710678118654755,6.4031242374328485,6.4031242374328485,8.0,10.04987562112089,9.0,10.0,8.0,1.0,1.0,0.0
2014-11-26 10:08:40,3,6.4031242374328485,5.656854249492381,7.0710678118654755,7.0710678118654755,10.0,14.035668847618199,13.0,14.0,11.0,7.0710678118654755,7.0,7.0
2014-11-26 10:08:41,3,6.4031242374328485,6.4031242374328485,6.4031242374328485,6.4031242374328485,12.0,14.0,14.0,15.0,11.0,7.0,6.0,6.0
2014-11-26 10:08:42,3,6.708203932499369,6.4031242374328485,6.4031242374328485,6.4031242374328485,9.0,12.041594578792296,11.0,12.0,9.0,1.4142135623730951,1.0,1.0
2014-11-26 10:08:43,3,6.4031242374328485,7.0710678118654755,6.4031242374328485,7.211102550927978,7.0,9.0,8.0,9.0,7.0,0.0,1.0,1.0
2014-11-26 10:08:44,3,5.385164807134504,5.830951894845301,5.830951894845301,5.830951894845301,9.055385138137417,12.041594578792296,11.0,11.045361017187261,9.0,1.0,1.0,1.0
2014-11-26 10:08:45,3,5.830951894845301,6.4031242374328485,6.4031242374328485,5.830951894845301,9.0,12.0,11.0,11.0,9.0,0.0,1.0,1.0
2014-11-26 10:08:46,3,7.211102550927978,7.810249675906654,7.0710678118654755,7.0710678118654755,8.0,12.0,11.0,11.0,9.0,1.0,2.0,2.0
2014-11-26 10:08:47,3,7.211102550927978,7.0710678118654755,6.4031242374328485,6.4031242374328485,10.04987562112089,13.038404810405298,12.0,13.0,10.0,1.0,2.0,2.0
2014-11-26 10:08:48,3,7.211102550927978,7.0710678118654755,7.0710678118654755,7.0710678118654755,8.0,11.0,10.0,11.045361017187261,8.0,0.0,0.0,0.0
2014-11-26 10:08:49,3,5.830951894845301,7.0710678118654755,6.4031242374328485,6.4031242374328485,8.0,11.045361017187261,10.0,11.0,8.0,1.0,0.0,1.0
2014-11-26 10:08:50,3,7.211102550927978,8.48528137423857,7.0710678118654755,6.4031242374328485,9.0,12.041594578792296,12.0,13.0,10.0,1.0,2.0,2.0
2014-11-26 10:08:51,3,6.4031242374328485,6.4031242374328485,7.211102550927978,7.0710678118654755,8.0,10.0,10.0,11.045361017187261,8.0,4.0,4.0,4.123105625617661
2014-11-26 10:08:52,3,6.4031242374328485,6.4031242374328485,7.211102550927978,7.211102550927978,9.0,11.0,11.0,11.045361017187261,8.06225774829855,4.0,4.0,3.1622776601683795
2014-11-26 10:08:53,3,6.4031242374328485,6.4031242374328485,6.708203932499369,6.4031242374328485,8.0,10.04987562112089,10.0,11.045361017187261,9.0,2.23606797749979,2.0,3.1622776601683795
2014-11-26 10:08:54,3,5.830951894845301,7.0710678118654755,6.4031242374328485,6.4031242374328485,11.0,13.0,14.0,14.0,11.045361017187261,4.0,5.0,5.0990195135927845
2014-11-26 10:08:55,3,5.830951894845301,6.4031242374328485,6.4031242374328485,6.4031242374328485,10.0,14.0,13.0,14.0,11.045361017187261,5.0,5.0990195135927845,5.0
2014-11-26 10:08:56,3,5.830951894845301,6.4031242374328485,5.830951894845301,5.656854249492381,10.0,12.041594578792296,13.038404810405298,13.0,10.0,4.123105625617661,4.123105625617661,4.0
2014-11-26 10:08:57,3,6.4031242374328485,5.656854249492381,7.211102550927978,5.656854249492381,9.0,11.045361017187261,11.0,11.045361017187261,8.0,3.1622776601683795,3.0,3.1622776601683795
2014-11-26 10:08:58,3,6.4031242374328485,7.0710678118654755,7.810249675906654,7.810249675906654,9.0,13.0,12.0,13.038404810405298,10.0,4.0,4.0,3.0
2014-11-26 10:08:59,3,6.4031242374328485,7.0710678118654755,7.810249675906654,6.4031242374328485,10.0,13.0,12.041594578792296,13.0,11.0,4.0,3.1622776601683795,3.1622776601683795
2014-11-26 10:09:00,3,6.4031242374328485,6.4031242374328485,7.211102550927978,6.4031242374328485,10.0,14.0,13.038404810405298,13.0,10.04987562112089,4.0,4.123105625617661,4.0
2014-11-26 10:09:01,3,5.830951894845301,6.4031242374328485,5.830951894845301,5.830951894845301,10.0,14.0,14.0,14.0,11.0,4.0,4.0,4.0
